DATES;TICKER
01/01/2019;SMDS LN
01/01/2019;SMIN LN
01/01/2019;SMWH LN
01/01/2019;SN/ LN
01/01/2019;SOBI SS
01/01/2019;SOF BB
01/01/2019;SOLB BB
01/01/2019;SOON SE
01/01/2019;SOP FP
01/01/2019;SPIE FP
01/01/2019;SPL PW
01/01/2019;SPM IM
01/01/2019;SPSN SE
01/01/2019;SPX LN
01/01/2019;SRCG SE
01/01/2019;SREN SE
01/01/2019;SRG IM
01/01/2019;SRT3 GY
01/01/2019;SSE LN
01/01/2019;SSPG LN
01/01/2019;STAN LN
01/01/2019;STB NO
01/01/2019;STERV FH
01/01/2019;STJ LN
01/01/2019;STM IM
01/01/2019;STMN SE
01/01/2019;SU FP
01/01/2019;SUBC NO
01/01/2019;SVT LN
01/01/2019;SW FP
01/01/2019;SWEDA SS
01/01/2019;SWMA SS
01/01/2019;SXS LN
01/01/2019;SY1 GY
01/01/2019;TATE LN
01/01/2019;TCAP LN
01/01/2019;TECN SE
01/01/2019;TEF SQ
01/01/2019;TEG GY
01/01/2019;TEL NO
01/01/2019;TEL2B SS
01/01/2019;TELIA SS
01/01/2019;TEMN SE
01/01/2019;TEN IM
01/01/2019;TEP FP
01/01/2019;TGS NO
01/01/2019;TIT IM
01/01/2019;TKA GY
01/01/2019;TKWY NA
01/01/2019;TLW LN
01/01/2019;TNET BB
01/01/2019;TOM NO
01/01/2019;TOP DC
01/01/2019;TPK LN
01/01/2019;TRELB SS
01/01/2019;TRN IM
01/01/2019;TRYG DC
01/01/2019;TSCO LN
01/01/2019;TUI LN
01/01/2019;TW/ LN
01/01/2019;TYRES FH
01/01/2019;UBI FP
01/01/2019;UBI IM
01/01/2019;UBSG SE
01/01/2019;UCB BB
01/01/2019;UCG IM
01/01/2019;UDG LN
01/01/2019;UG FP
01/01/2019;UHR SE
01/01/2019;ULVR LN
01/01/2019;UMI BB
01/01/2019;UN01 GY
01/01/2019;UNA NA
01/01/2019;UPM FH
01/01/2019;URW NA
01/01/2019;UTDI GY
01/01/2019;UTG LN
01/01/2019;UU/ LN
01/01/2019;VACN SE
01/01/2019;VALMT FH
01/01/2019;VCT LN
01/01/2019;VER AV
01/01/2019;VIE FP
01/01/2019;VIFN SE
01/01/2019;VIV FP
01/01/2019;VMUK LN
01/01/2019;VNA GY
01/01/2019;VOD LN
01/01/2019;VOE AV
01/01/2019;VOLVB SS
01/01/2019;VOW3 GY
01/01/2019;VPK NA
01/01/2019;VWS DC
01/01/2019;WDI GY
01/01/2019;WDP BB
01/01/2019;WEIR LN
01/01/2019;WG/ LN
01/01/2019;WIE AV
01/01/2019;WKL NA
01/01/2019;WLN FP
01/01/2019;WPP LN
01/01/2019;WRT1V FH
01/01/2019;WTB LN
01/01/2019;YAR NO
01/01/2019;ZAL GY
01/01/2019;ZURN SE
