DATE;TICKER
01/04/2015;HGG LN
01/04/2015;HIK LN
01/04/2015;HL/ LN
01/04/2015;HLMA LN
01/04/2015;HMB SS
01/04/2015;HMSO LN
01/04/2015;HNR1 GY
01/04/2015;HO FP
01/04/2015;HOME LN
01/04/2015;HPOLB SS
01/04/2015;HSBA LN
01/04/2015;HSX LN
01/04/2015;HTO GA
01/04/2015;HUH1V FH
01/04/2015;HUSQB SS
01/04/2015;HWDN LN
01/04/2015;IAG LN
01/04/2015;IAP LN
01/04/2015;IBE SQ
01/04/2015;ICA SS
01/04/2015;ICAD FP
01/04/2015;ICP LN
01/04/2015;IFX GY
01/04/2015;IGG LN
01/04/2015;IHG LN
01/04/2015;IIA AV
01/04/2015;III LN
01/04/2015;ILD FP
01/04/2015;IMB LN
01/04/2015;IMI LN
01/04/2015;INCH LN
01/04/2015;INDUA SS
01/04/2015;INF LN
01/04/2015;ING FP
01/04/2015;INGA NA
01/04/2015;INTRUM SS
01/04/2015;INTU LN
01/04/2015;INVEB SS
01/04/2015;INVP LN
01/04/2015;IPF LN
01/04/2015;ISAT LN
01/04/2015;ISP IM
01/04/2015;ISS DC
01/04/2015;ITRK LN
01/04/2015;ITV LN
01/04/2015;ITX SQ
01/04/2015;JAZ SQ
01/04/2015;JM SS
01/04/2015;JMAT LN
01/04/2015;JMT PL
01/04/2015;JUP LN
01/04/2015;JYSK DC
01/04/2015;KBC BB
01/04/2015;KD8 GY
01/04/2015;KER FP
01/04/2015;KESKOB FH
01/04/2015;KGF LN
01/04/2015;KINVB SS
01/04/2015;KN FP
01/04/2015;KNEBV FH
01/04/2015;KNIN SW
01/04/2015;KOMB CK
01/04/2015;KPN NA
01/04/2015;KSP ID
01/04/2015;KYG ID
01/04/2015;LAND LN
01/04/2015;LCL LN
01/04/2015;LDO IM
01/04/2015;LEG GY
01/04/2015;LEO GY
01/04/2015;LG FP
01/04/2015;LGEN LN
01/04/2015;LHA GY
01/04/2015;LHN SW
01/04/2015;LI FP
