;fichier_univers;fichier_cours;fichier_bench;date_debut;date_fin;type_periode_calc;periodicite;type_pas;nb_pas;nb_titres;nb_titres_turnover;prct_na;Perf_PRTF;Perf_Bench
44;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;6;months;2;50;7;0.250000000000000;0.470177239445265;0.136764987288482
45;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;6;months;2;50;8;0.250000000000000;0.498686634123804;0.136764987288482
46;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;6;months;2;50;9;0.250000000000000;0.527626742008813;0.136764987288482
47;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;6;months;2;50;10;0.250000000000000;0.503771419840767;0.136764987288482
48;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;9;months;2;50;3;0.250000000000000;0.604311342181927;0.136764987288482
49;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;9;months;2;50;4;0.250000000000000;0.573750732505677;0.136764987288482
50;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;9;months;2;50;5;0.250000000000000;0.616347685972264;0.136764987288482
51;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;9;months;2;50;6;0.250000000000000;0.562241313591653;0.136764987288482
52;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;9;months;2;50;7;0.250000000000000;0.542495795993495;0.136764987288482
53;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;9;months;2;50;8;0.250000000000000;0.570939749191212;0.136764987288482
54;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;9;months;2;50;9;0.250000000000000;0.600749526162068;0.136764987288482
55;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;9;months;2;50;10;0.250000000000000;0.565143588488050;0.136764987288482
56;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;2;50;3;0.250000000000000;0.619990337452091;0.136764987288482
57;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;2;50;4;0.250000000000000;0.534511970365584;0.136764987288482
58;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;2;50;5;0.250000000000000;0.526650165646532;0.136764987288482
59;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;2;50;6;0.250000000000000;0.525877071211990;0.136764987288482
60;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;2;50;7;0.250000000000000;0.546895081006414;0.136764987288482
61;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;2;50;8;0.250000000000000;0.497902736406028;0.136764987288482
62;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;2;50;9;0.250000000000000;0.484724108527522;0.136764987288482
63;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;2;50;10;0.250000000000000;0.428705937123185;0.136764987288482
64;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;3;months;3;50;3;0.250000000000000;0.580869602460272;0.136764987288484
65;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;3;months;3;50;4;0.250000000000000;0.552923952130872;0.136764987288484
66;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;3;months;3;50;5;0.250000000000000;0.495854857365196;0.136764987288484
67;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;3;months;3;50;6;0.250000000000000;0.476741383035148;0.136764987288484
68;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;3;months;3;50;7;0.250000000000000;0.468280395018746;0.136764987288484
69;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;3;months;3;50;8;0.250000000000000;0.488040500779168;0.136764987288484
70;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;3;months;3;50;9;0.250000000000000;0.482794050179029;0.136764987288484
71;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;3;months;3;50;10;0.250000000000000;0.485130671664352;0.136764987288484
72;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;6;months;3;50;3;0.250000000000000;0.606476723979110;0.136764987288484
73;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;6;months;3;50;4;0.250000000000000;0.581299661872788;0.136764987288484
74;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;6;months;3;50;5;0.250000000000000;0.564842200225632;0.136764987288484
75;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;6;months;3;50;6;0.250000000000000;0.571134302759101;0.136764987288484
76;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;6;months;3;50;7;0.250000000000000;0.611209402055653;0.136764987288484
77;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;6;months;3;50;8;0.250000000000000;0.602063560611788;0.136764987288484
78;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;6;months;3;50;9;0.250000000000000;0.607535359576120;0.136764987288484
79;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;6;months;3;50;10;0.250000000000000;0.557602261712596;0.136764987288484
80;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;9;months;3;50;3;0.250000000000000;0.575407134100365;0.136764987288484
81;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;9;months;3;50;4;0.250000000000000;0.525529975779572;0.136764987288484
82;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;9;months;3;50;5;0.250000000000000;0.599430501927857;0.136764987288484
83;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;9;months;3;50;6;0.250000000000000;0.648440712658358;0.136764987288484
84;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;9;months;3;50;7;0.250000000000000;0.599398560313963;0.136764987288484
85;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;9;months;3;50;8;0.250000000000000;0.638081320440357;0.136764987288484
86;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;9;months;3;50;9;0.250000000000000;0.614341785976775;0.136764987288484
87;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;9;months;3;50;10;0.250000000000000;0.587777149182634;0.136764987288484
88;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;3;50;3;0.250000000000000;0.554696903375388;0.136764987288484
89;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;3;50;4;0.250000000000000;0.521307073971651;0.136764987288484
90;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;3;50;5;0.250000000000000;0.481882615949064;0.136764987288484
91;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;3;50;6;0.250000000000000;0.477270413450115;0.136764987288484
92;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;3;50;7;0.250000000000000;0.518836664538368;0.136764987288484
93;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;3;50;8;0.250000000000000;0.525520945246461;0.136764987288484
94;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;3;50;9;0.250000000000000;0.520627783782328;0.136764987288484
95;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;3;50;10;0.250000000000000;0.510208023204591;0.136764987288484
